timestamp,device,ip,ifIndex,ifDescr,inOctets,outOctets,operStatus,sysUpTimeCentisecs
2025-11-24T16:25:52.326383,R1,192.168.10.1,4,Null0,0,0,1,2260856
2025-11-24T16:25:52.772087,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,2,GigabitEthernet0/0,2415654,2632260,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256200,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,5,Null0,0,0,1,2223620
2025-11-24T16:25:57.190440,R1,192.168.10.1,1,GigabitEthernet0/0,3402190,2696807,1,2261344
2025-11-24T16:25:57.190440,R1,192.168.10.1,2,GigabitEthernet0/1,5319632,5630905,1,2261344
2025-11-24T16:25:57.190440,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2261344
2025-11-24T16:25:57.190440,R1,192.168.10.1,4,Null0,0,0,1,2261344
2025-11-24T16:25:57.643049,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2224107
2025-11-24T16:25:57.643049,R2,192.168.20.1,2,GigabitEthernet0/0,2417823,2634550,1,2224107
2025-11-24T16:25:57.643049,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256200,1,2224107
2025-11-24T16:25:57.643049,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2224107
2025-11-24T16:25:57.643049,R2,192.168.20.1,5,Null0,0,0,1,2224107
2025-11-24T16:26:02.055532,R1,192.168.10.1,1,GigabitEthernet0/0,3405544,2700078,1,2261828
2025-11-24T16:26:02.055532,R1,192.168.10.1,2,GigabitEthernet0/1,5324664,5636244,1,2261828
2025-11-24T16:26:02.055532,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2261828
2025-11-24T16:26:02.055532,R1,192.168.10.1,4,Null0,0,0,1,2261828
2025-11-24T16:26:02.486171,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2224595
2025-11-24T16:26:02.486171,R2,192.168.20.1,2,GigabitEthernet0/0,2419992,2637271,1,2224595
2025-11-24T16:26:02.486171,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256260,1,2224595
2025-11-24T16:26:02.486171,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2224595
2025-11-24T16:26:02.486171,R2,192.168.20.1,5,Null0,0,0,1,2224595
2025-11-24T16:26:06.942852,R1,192.168.10.1,1,GigabitEthernet0/0,3408735,2702768,1,2262318
2025-11-24T16:26:06.942852,R1,192.168.10.1,2,GigabitEthernet0/1,5329175,5640989,1,2262318
2025-11-24T16:26:06.942852,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2262318
2025-11-24T16:26:06.942852,R1,192.168.10.1,4,Null0,0,0,1,2262318
2025-11-24T16:26:07.389839,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2225085
2025-11-24T16:26:07.389839,R2,192.168.20.1,2,GigabitEthernet0/0,2422161,2639561,1,2225085
2025-11-24T16:26:07.389839,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256260,1,2225085
2025-11-24T16:26:07.389839,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2225085
2025-11-24T16:26:07.389839,R2,192.168.20.1,5,Null0,0,0,1,2225085
2025-11-24T16:26:11.837782,R1,192.168.10.1,1,GigabitEthernet0/0,3411113,2705082,1,2262806
2025-11-24T16:26:11.837782,R1,192.168.10.1,2,GigabitEthernet0/1,5333250,5645352,1,2262806
2025-11-24T16:26:11.837782,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2262806
2025-11-24T16:26:11.837782,R1,192.168.10.1,4,Null0,0,0,1,2262806
2025-11-24T16:26:12.265138,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2225569
2025-11-24T16:26:12.265138,R2,192.168.20.1,2,GigabitEthernet0/0,2424330,2641911,1,2225569
2025-11-24T16:26:12.265138,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256320,1,2225569
2025-11-24T16:26:12.265138,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2225569
2025-11-24T16:26:12.265138,R2,192.168.20.1,5,Null0,0,0,1,2225569
2025-11-24T16:26:16.675615,R1,192.168.10.1,1,GigabitEthernet0/0,3413403,2707251,1,2263289
2025-11-24T16:26:16.675615,R1,192.168.10.1,2,GigabitEthernet0/1,5337300,5649627,1,2263289
2025-11-24T16:26:16.675615,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2263289
